مهندسی صنايع و سيستم ها صنعتی شريف,20 آزمون کانون در2 سال,165 منطقه 2,559 کشور
مهندسی مکانيک صنعتی شريف,76 آزمون کانون در3 سال,166 منطقه 2,562 کشور
مهندسی شيمی صنعتی شريف,49 آزمون کانون در1 سال,369 منطقه 1,567 کشور
مهندسی برق صنعتی اميرکبير,51 آزمون کانون در2 سال,168 منطقه 2,567 کشور
مهندسی برق صنعتی شريف,60 آزمون کانون در2 سال,170 منطقه 2,572 کشور
مهندسی برق دانشگاه تهران,142 آزمون کانون در5 سال,31 منطقه 3,572 کشور
مهندسی برق دانشگاه تهران,95 آزمون کانون در3 سال,171 منطقه 2,575 کشور
مهندسی برق دانشگاه تهران,43 آزمون کانون در2 سال,171 منطقه 2,575 کشور
مهندسی کامپيوتر علم و صنعت ايران,33 آزمون کانون در1 سال,175 منطقه 2,581 کشور
مهندسی مکانيک دانشگاه تهران,64 آزمون کانون در2 سال,177 منطقه 2,583 کشور
مهندسی کامپيوتر علم و صنعت ايران,30 آزمون کانون در2 سال,178 منطقه 2,585 کشور
مهندسی صنايع و سيستم ها صنعتی شريف,48 آزمون کانون در2 سال,180 منطقه 2,592 کشور
مهندسی برق دانشگاه تهران,47 آزمون کانون در2 سال,184 منطقه 2,601 کشور
مهندسی برق دانشگاه تهران,42 آزمون کانون در2 سال,32 منطقه 3,602 کشور
مهندسی برق دانشگاه تهران,45 آزمون کانون در2 سال,185 منطقه 2,604 کشور
مهندسی مکانيک صنعتی شريف,33 آزمون کانون در1 سال,186 منطقه 2,606 کشور
مهندسی برق صنعتی شريف - پرديس خود گردان,12 آزمون کانون در1 سال,388 منطقه 1,607 کشور
مهندسی کامپيوتر صنعتی شريف - پرديس خود گردان,52 آزمون کانون در2 سال,34 منطقه 3,607 کشور
مهندسی مکانيک صنعتی شريف,29 آزمون کانون در1 سال,187 منطقه 2,611 کشور
مهندسی کامپيوتر فردوسی مشهد,37 آزمون کانون در1 سال,392 منطقه 1,613 کشور
مهندسی کامپيوتر علم و صنعت ايران,185 آزمون کانون در4 سال,188 منطقه 2,617 کشور
علوم کامپيوتر صنعتی شريف,35 آزمون کانون در2 سال,35 منطقه 3,621 کشور
مهندسی برق دانشگاه تهران,66 آزمون کانون در3 سال,400 منطقه 1,624 کشور
مهندسی کامپيوتر علم و صنعت ايران,94 آزمون کانون در4 سال,190 منطقه 2,624 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,15 آزمون کانون در1 سال,403 منطقه 1,628 کشور
مهندسی برق دانشگاه تهران,83 آزمون کانون در4 سال,193 منطقه 2,634 کشور
مهندسی مکانيک دانشگاه تهران,172 آزمون کانون در7 سال,36 منطقه 3,634 کشور
علوم کامپيوتر دانشگاه تهران,46 آزمون کانون در1 سال,196 منطقه 2,639 کشور
مهندسی برق دانشگاه تهران,138 آزمون کانون در4 سال,197 منطقه 2,640 کشور
مهندسی برق دانشگاه تهران,13 آزمون کانون در1 سال,408 منطقه 1,644 کشور
علوم کامپيوتر صنعتی اميرکبير,101 آزمون کانون در3 سال,409 منطقه 1,647 کشور
مهندسی کامپيوتر صنعتی اصفهان,53 آزمون کانون در2 سال,203 منطقه 2,657 کشور
مهندسی برق دانشگاه تهران,44 آزمون کانون در3 سال,206 منطقه 2,668 کشور
مهندسی برق دانشگاه تهران,17 آزمون کانون در1 سال,40 منطقه 3,668 کشور
مهندسی برق دانشگاه تهران,62 آزمون کانون در2 سال,209 منطقه 2,671 کشور
علوم کامپيوتر دانشگاه تهران,65 آزمون کانون در3 سال,211 منطقه 2,678 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,15 آزمون کانون در1 سال,427 منطقه 1,680 کشور
رشته قبولی,"تعداد  آزمون ها(در مجموع چند سال)",رتبه در منطقه,رتبه کشوری
مهندسی مکانيک صنعتی شريف,110 آزمون کانون در4 سال,128 منطقه 2,426 کشور
مهندسی کامپيوتر صنعتی اميرکبير,32 آزمون کانون در2 سال,129 منطقه 2,427 کشور
مهندسی مکانيک صنعتی شريف,54 آزمون کانون در3 سال,131 منطقه 2,431 کشور
مهندسی برق صنعتی شريف,79 آزمون کانون در3 سال,132 منطقه 2,434 کشور
مهندسی برق صنعتی اصفهان,21 آزمون کانون در1 سال,283 منطقه 1,435 کشور
مهندسی مکانيک صنعتی شريف,160 آزمون کانون در3 سال,133 منطقه 2,437 کشور
مهندسی کامپيوتر صنعتی اميرکبير,59 آزمون کانون در3 سال,294 منطقه 1,454 کشور
مهندسی صنايع و سيستم ها صنعتی شريف,62 آزمون کانون در4 سال,299 منطقه 1,460 کشور
مهندسی برق دانشگاه تهران,41 آزمون کانون در2 سال,139 منطقه 2,463 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,44 آزمون کانون در2 سال,139 منطقه 2,463 کشور
مهندسی برق صنعتی شريف,138 آزمون کانون در9 سال,24 منطقه 3,468 کشور
